region,year,month,month_name,date,arrivals
Philippines,2008,5,May,2008-05-01,41872
Rep Of Ireland,2008,5,May,2008-05-01,1730
Russian Federation,2008,5,May,2008-05-01,4272
Saudi Arabia,2008,5,May,2008-05-01,533
South Africa (Rep Of),2008,5,May,2008-05-01,2405
South Asia,2008,5,May,2008-05-01,122586
South Korea,2008,5,May,2008-05-01,36412
Southeast Asia,2008,5,May,2008-05-01,292928
Spain,2008,5,May,2008-05-01,1715
Sri Lanka,2008,5,May,2008-05-01,6283
Sweden,2008,5,May,2008-05-01,1768
Switzerland,2008,5,May,2008-05-01,5038
Taiwan,2008,5,May,2008-05-01,14276
Thailand,2008,5,May,2008-05-01,30487
Total International Visitor Arrivals By Place Of Residence,2008,5,May,2008-05-01,833604
USA,2008,5,May,2008-05-01,30862
United Arab Emirates,2008,5,May,2008-05-01,3029
United Kingdom,2008,5,May,2008-05-01,29792
Vietnam,2008,5,May,2008-05-01,18193
West Asia,2008,5,May,2008-05-01,6135
Africa,2008,6,Jun,2008-06-01,6431
Americas,2008,6,Jun,2008-06-01,42579
Australia,2008,6,Jun,2008-06-01,73802
Bangladesh,2008,6,Jun,2008-06-01,8853
Belgium & Luxembourg,2008,6,Jun,2008-06-01,1409
Brunei Darussalam,2008,6,Jun,2008-06-01,5959
Canada,2008,6,Jun,2008-06-01,5078
China,2008,6,Jun,2008-06-01,70565
Denmark,2008,6,Jun,2008-06-01,2003
Egypt,2008,6,Jun,2008-06-01,371
Europe,2008,6,Jun,2008-06-01,79538
Finland,2008,6,Jun,2008-06-01,806
France,2008,6,Jun,2008-06-01,7147
Germany,2008,6,Jun,2008-06-01,10893
Greater China,2008,6,Jun,2008-06-01,108212
Hong Kong SAR,2008,6,Jun,2008-06-01,23055
India,2008,6,Jun,2008-06-01,84143
Indonesia,2008,6,Jun,2008-06-01,154546
Iran,2008,6,Jun,2008-06-01,1021
Israel,2008,6,Jun,2008-06-01,905
Italy,2008,6,Jun,2008-06-01,2450
Japan,2008,6,Jun,2008-06-01,40879
Kuwait,2008,6,Jun,2008-06-01,404
Malaysia,2008,6,Jun,2008-06-01,53217
Mauritius,2008,6,Jun,2008-06-01,846
Myanmar,2008,6,Jun,2008-06-01,6292
Netherlands,2008,6,Jun,2008-06-01,4945
New Zealand,2008,6,Jun,2008-06-01,10554
North Asia,2008,6,Jun,2008-06-01,76951
Norway,2008,6,Jun,2008-06-01,2680
Oceania,2008,6,Jun,2008-06-01,85419
Other Markets In Africa,2008,6,Jun,2008-06-01,2379
Other Markets In Americas,2008,6,Jun,2008-06-01,2197
Other Markets In Europe,2008,6,Jun,2008-06-01,6233
Other Markets In Greater China,2008,6,Jun,2008-06-01,1446
Other Markets In North Asia,2008,6,Jun,2008-06-01,74
Other Markets In Oceania,2008,6,Jun,2008-06-01,1063
Other Markets In South Asia,2008,6,Jun,2008-06-01,2865
Other Markets In Southeast Asia,2008,6,Jun,2008-06-01,2359
Other Markets In West Asia,2008,6,Jun,2008-06-01,1621
Others,2008,6,Jun,2008-06-01,588
Pakistan,2008,6,Jun,2008-06-01,2551
Philippines,2008,6,Jun,2008-06-01,33708
Rep Of Ireland,2008,6,Jun,2008-06-01,2316
Russian Federation,2008,6,Jun,2008-06-01,3626
Saudi Arabia,2008,6,Jun,2008-06-01,885
South Africa (Rep Of),2008,6,Jun,2008-06-01,2835
South Asia,2008,6,Jun,2008-06-01,104211
South Korea,2008,6,Jun,2008-06-01,35998
Southeast Asia,2008,6,Jun,2008-06-01,309564
Spain,2008,6,Jun,2008-06-01,1672
Sri Lanka,2008,6,Jun,2008-06-01,5799
Sweden,2008,6,Jun,2008-06-01,1944
Switzerland,2008,6,Jun,2008-06-01,3830
Taiwan,2008,6,Jun,2008-06-01,13146
Thailand,2008,6,Jun,2008-06-01,26211
Total International Visitor Arrivals By Place Of Residence,2008,6,Jun,2008-06-01,822954
USA,2008,6,Jun,2008-06-01,35304
United Arab Emirates,2008,6,Jun,2008-06-01,4625
United Kingdom,2008,6,Jun,2008-06-01,27584
Vietnam,2008,6,Jun,2008-06-01,27272
West Asia,2008,6,Jun,2008-06-01,9461
Africa,2008,7,Jul,2008-07-01,8293
Americas,2008,7,Jul,2008-07-01,48591
Australia,2008,7,Jul,2008-07-01,79776
Bangladesh,2008,7,Jul,2008-07-01,9581
Belgium & Luxembourg,2008,7,Jul,2008-07-01,2243
Brunei Darussalam,2008,7,Jul,2008-07-01,4505
Canada,2008,7,Jul,2008-07-01,6838
China,2008,7,Jul,2008-07-01,105528
Denmark,2008,7,Jul,2008-07-01,3121
Egypt,2008,7,Jul,2008-07-01,565
Europe,2008,7,Jul,2008-07-01,106176
Finland,2008,7,Jul,2008-07-01,784
France,2008,7,Jul,2008-07-01,11267
Germany,2008,7,Jul,2008-07-01,13500
Greater China,2008,7,Jul,2008-07-01,154705
Hong Kong SAR,2008,7,Jul,2008-07-01,28218
India,2008,7,Jul,2008-07-01,63373
Indonesia,2008,7,Jul,2008-07-01,168492
Iran,2008,7,Jul,2008-07-01,844
Israel,2008,7,Jul,2008-07-01,863
Italy,2008,7,Jul,2008-07-01,3971
Japan,2008,7,Jul,2008-07-01,47659
Kuwait,2008,7,Jul,2008-07-01,1022
Malaysia,2008,7,Jul,2008-07-01,46968
Mauritius,2008,7,Jul,2008-07-01,1062
Myanmar,2008,7,Jul,2008-07-01,7068
Netherlands,2008,7,Jul,2008-07-01,7759
New Zealand,2008,7,Jul,2008-07-01,13056
North Asia,2008,7,Jul,2008-07-01,87345
Norway,2008,7,Jul,2008-07-01,3126
Oceania,2008,7,Jul,2008-07-01,93866
Other Markets In Africa,2008,7,Jul,2008-07-01,3251
Other Markets In Americas,2008,7,Jul,2008-07-01,2666
Other Markets In Europe,2008,7,Jul,2008-07-01,9177
Other Markets In Greater China,2008,7,Jul,2008-07-01,1561
Other Markets In North Asia,2008,7,Jul,2008-07-01,72
Other Markets In Oceania,2008,7,Jul,2008-07-01,1034
Other Markets In South Asia,2008,7,Jul,2008-07-01,2482
Other Markets In Southeast Asia,2008,7,Jul,2008-07-01,2856
Other Markets In West Asia,2008,7,Jul,2008-07-01,2658
Others,2008,7,Jul,2008-07-01,591
Pakistan,2008,7,Jul,2008-07-01,3749
Philippines,2008,7,Jul,2008-07-01,34135
Rep Of Ireland,2008,7,Jul,2008-07-01,2443
Russian Federation,2008,7,Jul,2008-07-01,3922
Saudi Arabia,2008,7,Jul,2008-07-01,1592
South Africa (Rep Of),2008,7,Jul,2008-07-01,3415
South Asia,2008,7,Jul,2008-07-01,85471
South Korea,2008,7,Jul,2008-07-01,39614
Southeast Asia,2008,7,Jul,2008-07-01,322370
Spain,2008,7,Jul,2008-07-01,3364
Sri Lanka,2008,7,Jul,2008-07-01,6286
Sweden,2008,7,Jul,2008-07-01,2114
Switzerland,2008,7,Jul,2008-07-01,5896
Taiwan,2008,7,Jul,2008-07-01,19398
Thailand,2008,7,Jul,2008-07-01,28884
Total International Visitor Arrivals By Place Of Residence,2008,7,Jul,2008-07-01,922569
USA,2008,7,Jul,2008-07-01,39087
United Arab Emirates,2008,7,Jul,2008-07-01,8182
United Kingdom,2008,7,Jul,2008-07-01,33489
Vietnam,2008,7,Jul,2008-07-01,29462
West Asia,2008,7,Jul,2008-07-01,15161
Africa,2008,8,Aug,2008-08-01,8727
Americas,2008,8,Aug,2008-08-01,40453
Australia,2008,8,Aug,2008-08-01,65465
Bangladesh,2008,8,Aug,2008-08-01,8481
Belgium & Luxembourg,2008,8,Aug,2008-08-01,2108
Brunei Darussalam,2008,8,Aug,2008-08-01,4627
Canada,2008,8,Aug,2008-08-01,6026
China,2008,8,Aug,2008-08-01,91325
Denmark,2008,8,Aug,2008-08-01,2056
Egypt,2008,8,Aug,2008-08-01,521
Europe,2008,8,Aug,2008-08-01,115651
Finland,2008,8,Aug,2008-08-01,648
France,2008,8,Aug,2008-08-01,13597
Germany,2008,8,Aug,2008-08-01,14690
Greater China,2008,8,Aug,2008-08-01,136725
Hong Kong SAR,2008,8,Aug,2008-08-01,26847
India,2008,8,Aug,2008-08-01,58626
Indonesia,2008,8,Aug,2008-08-01,134811
Iran,2008,8,Aug,2008-08-01,1714
Israel,2008,8,Aug,2008-08-01,892
Italy,2008,8,Aug,2008-08-01,6556
Japan,2008,8,Aug,2008-08-01,53699
Kuwait,2008,8,Aug,2008-08-01,1094
Malaysia,2008,8,Aug,2008-08-01,44118
Mauritius,2008,8,Aug,2008-08-01,1010
Myanmar,2008,8,Aug,2008-08-01,6680
Netherlands,2008,8,Aug,2008-08-01,7241
New Zealand,2008,8,Aug,2008-08-01,10578
North Asia,2008,8,Aug,2008-08-01,96109
Norway,2008,8,Aug,2008-08-01,1943
Oceania,2008,8,Aug,2008-08-01,77039
Other Markets In Africa,2008,8,Aug,2008-08-01,4443
Other Markets In Americas,2008,8,Aug,2008-08-01,1987
Other Markets In Europe,2008,8,Aug,2008-08-01,9707
Other Markets In Greater China,2008,8,Aug,2008-08-01,1630
Other Markets In North Asia,2008,8,Aug,2008-08-01,72
Other Markets In Oceania,2008,8,Aug,2008-08-01,996
Other Markets In South Asia,2008,8,Aug,2008-08-01,2760
Other Markets In Southeast Asia,2008,8,Aug,2008-08-01,3140
Other Markets In West Asia,2008,8,Aug,2008-08-01,2399
Others,2008,8,Aug,2008-08-01,572
Pakistan,2008,8,Aug,2008-08-01,2492
Philippines,2008,8,Aug,2008-08-01,34984
Rep Of Ireland,2008,8,Aug,2008-08-01,2064
Russian Federation,2008,8,Aug,2008-08-01,4385
Saudi Arabia,2008,8,Aug,2008-08-01,1911
South Africa (Rep Of),2008,8,Aug,2008-08-01,2753
South Asia,2008,8,Aug,2008-08-01,80388
