year_x,month_x,month_name_x,date,arrivals,year_y,month_y,month_name_y,Available Room Nights,Average Hotel Occupancy Rate,Average Occupancy Rate - Large,Average Occupancy Rate - Medium,Average Occupancy Rate - Small,Average Room Rate,Average Room Rate - Large,Average Room Rate - Medium,Average Room Rate - Small,Gross Lettings,Room Revenue
2011.0,1.0,Jan,2011-01-01,1055990.0,2011.0,1.0,Jan,1212155.0,82.0,83.0,82.5,72.6,220.7,239.5,183.3,128.4,994050.0,220511.5
2023.0,-0.37492466931838014,Feb,2023-02-01,957844.0,,2.0,Feb,1527428.0,85.1,85.2,83.7,86.9,266.0,286.9,260.0,144.2,1299656.0,349610.3
2013.0,2.0,Feb,2013-02-01,1221365.0,2013.0,2.0,Feb,1204171.0,84.9,87.9,81.0,70.4,238.0,254.4,213.0,147.0,1021872.0,243203.5
2009.0,11.0,Nov,2009-11-01,830173.0,2009.0,11.0,Nov,981592.0,,87.1,79.6,65.8,192.4,204.6,166.2,103.2,826755.0,159118.3
2025.0,6.0,Jun,2025-06-01,1245947.0,2025.0,6.0,Jun,1951399.0,75.1,74.4,75.0,80.1,253.9,282.8,228.2,125.8,1464544.0,
2023.0,4.0,Apr,2023-04-01,-152886.2804131794,2023.0,4.0,Apr,1731007.0,79.0,78.1,79.9,83.3,264.8,285.2,259.3,149.9,1367049.0,365627.5
2010.0,10.0,Oct,2010-10-01,978913.0,2010.0,10.0,Oct,1215498.0,84.6,86.0,84.6,72.8,212.8,229.9,179.3,125.5,1027801.0,219421.6
2008.0,12.0,Dec,2008-12-01,888001.0,2008.0,12.0,Dec,924389.0,72.7,73.6,68.7,73.2,212.5,227.5,,107.0,671735.0,142719.4
-2012.0,4.0,Apr,2012-04-01,1201953.0,2012.0,4.0,Apr,1243938.0,84.7,86.0,83.1,77.9,245.6,267.5,209.0,141.1,1053022.0,258644.6
2039.4223540997127,-10.046391613517127,Oct,2023-10-01,1118075.5855715338,2021.9032089295185,9.941237232903685,Oct,1899186.069228169,77.61575908125302,77.15895789172859,78.82839562459043,80.5883864997002,268.35018033392834,291.24848589965256,257.1229866586661,144.7240573307184,1483429.7425675755,400875.95120328927
